College_Name,College_ID,Branch_Name,Branch_ID,College_Branch_ID,Caste,Gender,Percentile,Rank,University_Category
"Aditya Engineering College , Beed",2136,Information Technology,213624610,2136-213624610,Other,Female,8.8142108,95978.0,State Level
"Aditya Engineering College , Beed",2136,Information Technology,213624610,2136-213624610,Other,General,5.2266938,98223.0,State Level
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380,Computer Engineering,538024510,5380-538024510,EWS,General,40.2546574,73844.0,State Level
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380,Computer Engineering,538024510,5380-538024510,NT1,General,23.8512481,85986.0,State Level
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380,Computer Engineering,538024510,5380-538024510,NT2,General,44.8674577,69665.0,State Level
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380,Computer Engineering,538024510,5380-538024510,NT3,General,49.5849968,65196.0,State Level
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380,Computer Engineering,538024510,5380-538024510,OBC,Female,41.1916183,72701.0,State Level
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380,Computer Engineering,538024510,5380-538024510,OBC,General,38.7528893,74574.0,State Level
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380,Computer Engineering,538024510,5380-538024510,Other,Female,37.427407,76205.0,State Level
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380,Computer Engineering,538024510,5380-538024510,Other,General,19.7997548,89621.0,State Level
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380,Computer Engineering,538024510,5380-538024510,SC,General,4.2183232,98640.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Computer Engineering,319724510,3197-319724510,Other,Female,91.3786774,13190.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Computer Engineering,319724510,3197-319724510,Other,General,44.3547118,70765.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Computer Engineering,319724510,3197-319724510,TFWS,General,96.9251545,4597.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Electrical Engineering,319729310,3197-319729310,Other,Female,80.9163492,28701.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Electrical Engineering,319729310,3197-319729310,Other,General,69.6680476,43725.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Electrical Engineering,319729310,3197-319729310,TFWS,General,90.5087863,14413.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Electronics and Telecommunication Engg,319737210,3197-319737210,Other,Female,87.2591284,19354.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Electronics and Telecommunication Engg,319737210,3197-319737210,Other,General,76.1031259,35422.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Electronics and Telecommunication Engg,319737210,3197-319737210,TFWS,General,92.0106253,12168.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Information Technology,319724610,3197-319724610,Other,Female,91.0432864,13672.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Information Technology,319724610,3197-319724610,Other,General,11.5274226,94607.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Information Technology,319724610,3197-319724610,TFWS,General,95.9246052,6167.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Mechanical Engineering,319761210,3197-319761210,Other,Female,10.5196916,95292.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Mechanical Engineering,319761210,3197-319761210,Other,General,12.2261844,94113.0,State Level
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197,Mechanical Engineering,319761210,3197-319761210,TFWS,General,85.2776363,22336.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Civil Engineering,538219110,5382-538219110,Other,Female,12.6435576,93904.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Civil Engineering,538219110,5382-538219110,Other,General,2.679742,99510.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,DEF,General,33.7901172,79359.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,EWS,General,59.014768,55466.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,NT1,General,62.8388317,51786.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,NT2,General,47.8943798,67007.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,NT3,General,51.2157744,63798.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,OBC,Female,58.7073102,56304.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,OBC,General,20.0646488,89342.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,Other,Female,65.8083801,48595.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,Other,General,1.402151,100128.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,SC,Female,71.5034873,41132.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,SC,General,21.170414,87964.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,TFWS,General,77.5309265,33571.0,State Level
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382,Computer Engineering,538224510,5382-538224510,VJ,General,32.7140844,79980.0,State Level
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",6183,Computer Engineering,618324510,6183-618324510,Other,Female,29.004904,82637.0,State Level
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",6183,Computer Engineering,618324510,6183-618324510,Other,General,2.422354,99609.0,State Level
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",6183,Electronics and Telecommunication Engg,618337210,6183-618337210,Other,Female,19.7997548,89683.0,State Level
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",6183,Electronics and Telecommunication Engg,618337210,6183-618337210,Other,General,3.0412634,99282.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Artificial Intelligence and Machine Learning,632592110,6325-632592110,Other,Female,4.5811042,98512.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Artificial Intelligence and Machine Learning,632592110,6325-632592110,Other,General,1.402151,100131.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Artificial Intelligence and Machine Learning,632592110,6325-632592110,TFWS,General,64.0315795,50070.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Civil Engineering,632519110,6325-632519110,Other,General,26.7344905,84413.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Computer Engineering,632524510,6325-632524510,Other,Female,68.1025426,45724.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Computer Engineering,632524510,6325-632524510,Other,General,36.4202981,77314.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Computer Engineering,632524510,6325-632524510,TFWS,General,77.6138784,33383.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Electrical Engineering,632529310,6325-632529310,Other,General,10.1324503,95498.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Electronics and Telecommunication Engg,632537210,6325-632537210,Other,Female,14.9204746,92760.0,State Level
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325,Electronics and Telecommunication Engg,632537210,6325-632537210,Other,General,10.5196916,95222.0,State Level
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218,Computer Engineering,321824510,3218-321824510,Other,Female,72.5888922,40210.0,State Level
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218,Computer Engineering,321824510,3218-321824510,Other,General,5.4433898,98059.0,State Level
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218,Computer Engineering,321824510,3218-321824510,TFWS,General,90.4032723,14622.0,State Level
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218,Electronics and Telecommunication Engg,321837210,3218-321837210,Other,Female,44.4594976,70344.0,State Level
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218,Electronics and Telecommunication Engg,321837210,3218-321837210,Other,General,30.6714243,80935.0,State Level
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218,Information Technology,321824610,3218-321824610,Other,Female,73.4175234,38780.0,State Level
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218,Information Technology,321824610,3218-321824610,Other,General,19.7997548,89625.0,State Level
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218,Information Technology,321824610,3218-321824610,TFWS,General,80.7641365,29092.0,State Level
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218,Mechanical Engineering,321861210,3218-321861210,Other,General,15.1712203,92156.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,DEF,General,66.7554528,47094.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,EWS,General,53.9180629,61004.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,NT1,General,61.274009,53472.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,NT2,General,41.5574493,72393.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,NT3,General,34.9390628,77785.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,OBC,Female,12.1067444,94312.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,OBC,General,21.170414,87837.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,Other,Female,70.3981929,43374.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,Other,General,45.1726604,69014.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,SC,General,19.0366853,89721.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,TFWS,General,79.541581,30835.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Chemical Engineering,627850710,6278-627850710,VJ,General,17.6622065,90577.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,EWS,General,53.9180629,61028.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,NT1,General,50.6929638,64709.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,NT2,Female,40.7677382,73807.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,NT2,General,37.6726418,75819.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,NT3,General,42.092358,71917.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,OBC,Female,50.6109392,64868.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,OBC,General,8.3443709,96491.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,Other,Female,23.7053966,86281.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,Other,General,58.2603585,56939.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,SC,General,2.2579735,99676.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,ST,General,6.1827799,97571.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,TFWS,General,78.0920124,32658.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,VJ,Female,55.0214592,60222.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Civil Engineering,627819110,6278-627819110,VJ,General,32.7140844,80005.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,DEF,General,86.4508996,20562.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,EWS,General,95.104432,7445.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,NT1,General,90.0276575,15240.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,NT2,Female,88.1896199,18030.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,NT2,General,93.7360411,9543.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,NT3,General,92.955174,10777.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,OBC,Female,94.080489,8986.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,OBC,General,83.1897457,25544.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,Other,Female,95.6646909,6535.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,Other,General,95.2952595,7106.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,PWD,General,44.989715,69514.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,SC,Female,87.2591284,19391.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,SC,General,45.4668811,68917.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,ST,Female,33.8297761,79186.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,ST,General,58.0509972,57352.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,TFWS,General,96.4497344,5313.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Computer Engineering,627824510,6278-627824510,VJ,General,86.4508996,20587.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,EWS,General,73.8187976,38414.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,NT1,General,39.7860074,74379.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,NT2,General,29.004904,82636.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,NT3,General,29.004904,82627.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,OBC,Female,23.8512481,85936.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,OBC,General,48.9793798,65482.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,Other,Female,69.3138732,44197.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,Other,General,67.9011717,45990.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,SC,Female,51.2157744,63961.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,SC,General,42.4406388,71451.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,ST,General,14.9204746,92765.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,TFWS,General,84.4255069,23788.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electrical Engineering,627829310,6278-627829310,VJ,General,26.9383597,84128.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,DEF,General,66.2408483,47447.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,EWS,General,90.0534982,15173.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,NT1,General,61.274009,53725.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,NT2,General,79.5702879,30615.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,NT3,General,78.8609786,31877.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,OBC,Female,82.9327064,26068.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,OBC,General,85.4775879,22085.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,Other,Female,88.0080788,18259.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,Other,General,88.4849114,17651.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,SC,Female,71.2480897,41331.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,SC,General,73.6463016,38609.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,TFWS,General,92.955174,10784.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Electronics and Telecommunication Engg,627837210,6278-627837210,VJ,General,79.3664875,30948.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,DEF,General,27.218816,83684.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,EWS,General,69.3138732,44190.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,NT1,General,34.2396221,78384.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,NT2,Female,34.2396221,78278.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,NT2,General,48.3091541,66640.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,NT3,General,12.7980055,93451.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,OBC,Female,13.1978549,93324.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,OBC,General,26.7344905,84392.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,Other,Female,68.5336468,45152.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,Other,General,20.6367804,88374.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,SC,General,14.5140215,93006.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,TFWS,General,81.4574352,27986.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering,627861210,6278-627861210,VJ,General,37.3800409,76676.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering[Sandwich],627862510,6278-627862510,EWS,General,6.1827799,97596.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering[Sandwich],627862510,6278-627862510,Other,Female,73.3755778,39049.0,State Level
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278,Mechanical Engineering[Sandwich],627862510,6278-627862510,Other,General,1.9699517,99820.0,State Level
"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",6282,Artificial Intelligence and Data Science,628299510,6282-628299510,DEF,General,73.9633214,38390.0,State Level
